image,x1,y1,x2,y2,class_name,proba
im_0.jpg,51,204,217,384,small_vrac,88
im_0.jpg,550,128,640,243,small_vrac,80
im_15.jpg,217,140,435,332,big_vrac,88
im_15.jpg,192,115,537,460,big_vrac,88
im_15.jpg,64,38,230,204,small_vrac,98
im_27.jpg,25,0,179,140,small_vrac,97
im_27.jpg,51,179,217,320,small_vrac,96
im_27.jpg,256,64,460,256,big_vrac,91
im_49.jpg,-13,76,128,217,small_vrac,93
im_49.jpg,153,51,460,396,big_vrac,85
im_60.jpg,422,25,614,204,big_vrac,95
im_68.jpg,243,64,448,256,big_vrac,87
im_68.jpg,0,0,153,153,small_vrac,98
im_73.jpg,89,0,268,166,big_vrac,94
im_73.jpg,320,76,537,268,big_vrac,84
im_77.jpg,448,102,627,268,big_vrac,88
im_77.jpg,153,128,409,320,big_vrac,85
im_87.jpg,217,128,422,307,big_vrac,91
im_87.jpg,0,0,153,153,big_vrac,86
im_87.jpg,320,0,473,140,small_vrac,91
im_87.jpg,524,0,627,128,small_vrac,85
im_119.jpg,179,12,358,179,big_vrac,96
im_119.jpg,307,153,486,345,big_vrac,81
im_119.jpg,0,0,128,140,small_vrac,98
im_119.jpg,0,345,140,499,small_vrac,93
im_119.jpg,473,0,640,153,small_vrac,90
im_119.jpg,128,204,294,384,small_vrac,89
im_123.jpg,371,102,537,268,small_vrac,98
im_123.jpg,12,64,371,358,big_vrac,96
im_123.jpg,25,64,243,268,big_vrac,86
im_133.jpg,358,166,524,332,small_vrac,94
im_133.jpg,12,38,217,230,big_vrac,96
im_133.jpg,12,12,307,332,big_vrac,96
im_136.jpg,76,153,243,358,big_vrac,94
im_136.jpg,243,115,486,320,big_vrac,94
im_136.jpg,25,51,192,204,small_vrac,83
im_142.jpg,25,115,179,268,small_vrac,98
im_142.jpg,153,179,448,435,big_vrac,98
im_142.jpg,396,25,601,243,big_vrac,97
im_151.jpg,102,0,268,153,small_vrac,93
im_151.jpg,0,153,115,307,small_vrac,86
im_151.jpg,179,140,448,435,big_vrac,82
im_156.jpg,153,0,320,128,small_vrac,98
